x,y,intensity,ultra,lidar
20,44,14,24,264
20,44,11,24,264
20,44,12,24,266
20,44,11,24,266
20,40,11,20,265
20,40,11,765,265
20,40,12,20,269
20,40,13,20,269
20,40,13,20,268
20,36,11,20,268
20,36,11,20,275
20,36,14,20,275
20,36,10,765,275
20,36,11,20,277
20,32,11,20,277
20,32,12,20,284
20,32,12,20,284
20,32,14,20,287
20,32,14,20,287
20,28,13,20,283
20,28,11,765,283
20,28,13,20,297
20,28,13,20,297
20,28,13,20,299
20,24,12,20,299
20,24,11,20,316
20,24,13,20,316
20,24,10,20,315
20,24,11,20,315
20,20,11,20,314
20,20,13,765,314
20,20,11,20,333
20,20,12,20,333
20,20,14,20,331
20,16,11,20,331
20,16,10,20,351
20,16,15,20,351
20,16,13,20,353
20,16,13,20,353
20,12,10,20,350
20,12,14,765,350
20,12,14,20,379
20,12,13,20,379
20,12,12,20,377
20,8,14,20,377
20,8,15,20,393
20,8,16,20,393
20,8,13,20,398
20,8,14,20,398
20,4,14,20,398
20,4,12,765,398
20,4,14,20,419
20,4,16,20,419
20,4,15,20,421
20,0,15,23,421
20,0,14,23,461
20,0,15,23,461
20,0,15,23,467
20,0,15,23,467
24,0,17,22,464
24,0,15,765,464
24,0,15,22,372
24,0,15,22,372
24,0,13,22,373
24,4,13,20,373
24,4,18,20,355
24,4,15,20,355
24,4,18,20,358
24,4,16,20,358
24,8,14,20,356
24,8,16,765,356
24,8,15,20,333
24,8,14,20,333
24,8,13,20,339
24,12,14,20,339
24,12,15,20,317
24,12,12,20,317
24,12,16,20,320
24,12,13,20,320
24,16,14,20,320
24,16,16,765,320
24,16,13,20,300
24,16,13,20,300
24,16,13,20,305
24,20,15,20,305
24,20,13,20,285
24,20,16,20,285
24,20,16,20,286
24,20,14,20,286
24,24,15,20,286
24,24,14,765,286
24,24,14,20,271
24,24,13,20,271
24,24,14,20,274
24,28,13,20,274
24,28,13,20,262
24,28,12,20,262
24,28,14,20,263
24,28,16,20,263
24,32,15,20,262
24,32,15,765,262
24,32,15,20,253
24,32,13,20,253
24,32,15,20,255
24,36,15,20,255
24,36,12,20,246
24,36,11,20,246
24,36,14,20,245
24,36,14,20,245
24,40,13,20,246
24,40,14,765,246
24,40,13,20,240
24,40,11,20,240
24,40,12,20,241
24,44,12,22,241
24,44,14,22,237
24,44,13,22,237
24,44,13,22,238
24,44,14,22,238
24,48,14,20,236
24,48,17,20,236
24,48,13,20,235
24,48,12,20,235
24,48,13,20,237
24,52,13,20,237
24,52,14,20,237
24,52,13,20,237
24,52,14,20,237
24,52,13,20,237
24,56,11,20,235
24,56,11,20,235
24,56,11,20,240
24,56,13,20,240
24,56,13,20,240
24,60,13,20,240
24,60,14,20,246
24,60,14,20,246
24,60,10,20,244
24,60,12,20,244
24,64,13,20,245
24,64,12,765,245
24,64,13,20,251
24,64,13,20,251
24,64,14,20,256
24,68,11,20,256
24,68,12,20,266
24,68,11,20,266
24,68,13,20,265
24,68,14,20,265
24,72,11,20,263
24,72,11,765,263
24,72,15,20,282
24,72,12,20,282
24,72,9,20,282
24,76,12,20,282
24,76,11,20,304
24,76,10,20,304
24,76,11,20,307
24,76,10,20,307
24,80,10,20,307
24,80,9,765,307
24,80,9,20,343
